models,AtomPairs2DCount,AtomPairs2D,ExtendedFingerprinter,Fingerprinter,GraphOnlyFingerprinter,KlekotaRothCount,KlekotaRoth,MACCS,PubChem,SubstructureCount,Substructure
LinearSVR,0.7963877877042556,0.7958366745921667,0.8019834473161545,0.796825588202743,0.8004271408752784,0.8002973531692872,0.7986961431531183,0.7850604673312542,0.6320859145436428,0.7987645884879044,0.7978565645867344
LinearRegression,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20,-1.4843686026771376e+20
VotingRegressor,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19,-1.6492984474197789e+19
StackingRegressor,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871,0.567188196826871
HistGradientBoostingRegressor,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521,0.6754127808527521
BaggingRegressor,0.9066717660241954,0.6547546474830483,0.9188195937822696,0.8663354790516667,0.8928609878273571,0.8999827329120813,0.8744819092307723,0.8549685311088847,0.7971515159321508,0.9328112276388172,0.8472346856251272
AdaBoostRegressor,0.3781472885297442,0.880737411493951,0.8981012999114459,0.850637827124239,0.8049049101599915,0.8632754849107293,0.8816222016903199,0.6634709343282017,0.6062780696484518,0.7840406644592347,0.847315072464063
ExtraTreesRegressor,0.92466644981651,0.9249370731029716,0.9241297903483484,0.9253701787824836,0.9255275924222708,0.9251404583188324,0.9246647602216642,0.9259829818391718,0.9239792016966358,0.9253457205446296,0.9250687871982146
GradientBoostingRegressor,0.8719732946024958,0.8675289341168428,0.8873441516764475,0.872864245057303,0.8782167493125127,0.8799639438411464,0.8612667361602981,0.8710601265191185,0.8748644340720713,0.8825828552171179,0.8737828040822562
DecisionTreeRegressor,0.8957986524525848,0.926474856403406,0.8996892373492622,0.9309752899289034,0.9292759474512408,0.9248683298415674,0.928542141983962,0.9194274950478024,0.9038895936714116,0.9266467905953768,0.9302378724786928
