molecule_id,molSmile,mol_weight,hbAccpetor,hb_donor,rotatable bond,molLogP,Lipinski Status
ZINC00287783,c1cc(c(cc1C(=O)N2CCSC2=S)Cl)Cl,292.212,3,0,1,3.4673000000000016,PASS
ZINC00373068,COc1ccc(cc1C(=O)N(CC#N)CC#N)Cl,263.68399999999997,4,0,4,1.8379599999999998,PASS
ZINC00321324,Cn1cccc1CN(C2CC2)C(=O)c3ccc(c(c3)Cl)Cl,323.22299999999996,2,0,4,4.136700000000004,PASS
ZINC00145150,Cc1cc(ccc1NC(=S)N(CCO)N)Cl,259.76199999999994,3,3,3,1.51322,PASS
ZINC00029883,C=CCN(CC=C)C(=O)c1ccc(c(c1)Cl)Cl,270.159,1,0,5,3.8076000000000025,PASS
ZINC00120009,CNc1ccc(cc1C(=O)NCCc2ccccc2)Cl,288.778,2,2,5,3.3542000000000014,PASS
ZINC00614575,c1cc(oc1)CNC(=O)[C@H]2CC(=NO2)c3ccc(c(c3)Cl)Cl,339.178,4,1,4,3.395800000000002,PASS
ZINC00346296,CC(C)COc1ccc(cc1Cl)CNC(=[NH2+])N,256.757,1,3,5,0.5382,PASS
ZINC00122608,Cc1cc(ccc1OCC(=O)NCc2ccco2)Cl,279.72299999999996,3,1,5,2.9366200000000005,PASS
ZINC00543430,CC(=O)Nc1ccc(cc1)N2Cc3cc(ccc3OC2)Cl,302.76099999999997,3,1,2,3.6549000000000023,PASS
ZINC00441511,C=CCN(CC=C)C(=O)c1cc(ccc1[N+](=O)[O-])Cl,280.711,3,0,6,3.062400000000002,PASS
ZINC00614576,c1cc(oc1)CNC(=O)[C@@H]2CC(=NO2)c3ccc(c(c3)Cl)Cl,339.178,4,1,4,3.395800000000002,PASS
ZINC00060713,c1cc(c(cc1Cl)C(=O)N(CC#N)CC#N)Cl,268.10299999999995,3,0,3,2.4827600000000007,PASS
ZINC00375666,Cc1cc(ccc1OCC(=O)NCc2cccs2)Cl,295.79099999999994,3,1,5,3.405120000000002,PASS
ZINC00060712,C=CCN(CC=C)C(=O)c1cc(ccc1Cl)Cl,270.159,1,0,5,3.8076000000000025,PASS
